,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5245.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547598.0,547598.0,https://pypi.org/project/tensorflow,18874488.0,20104985.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-08-19 19:35:24.819,2026-08-20 12:50:15.766943,7286379.0,47.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-08-20 12:50:15.766943,2916.0,2916.0,82540004.0,1.0,-30.0,,,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},521.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2476765.0,2476765.0,https://pypi.org/project/Pillow,565616331.0,566746977.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,82537212.0,60.0,,,,,,1.0,,PIL,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1904.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1916112.0,1916112.0,https://pypi.org/project/matplotlib,246154728.0,246718844.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,41744649.0,84.0,,,,,,1.0,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3553.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1370976.0,1370976.0,https://pypi.org/project/scikit-learn,241017384.0,241690869.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,50511443.0,63.0,,,,,,1.0,,,,,,,,,,,,,,
10,transformers,huggingface/transformers,nlp,,{},4074.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,24,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",432497.0,432497.0,https://pypi.org/project/transformers,195692642.0,195759785.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-08-19 12:04:07.059,2026-08-19 12:04:07.059000,4901493.0,196.0,,,,,,1.0,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,{},1964.0,"Ecosystem of open-source software for mathematics, science, and engineering.",24,False,scipy,conda-forge/scipy,,,,1462614.0,1462614.0,https://pypi.org/project/scipy,437857380.0,439157870.0,https://anaconda.org/conda-forge/scipy,2020-11-01 04:38:56.532,2026-06-20 01:57:35.918,2026-06-20 01:57:35.918000,89733821.0,56.0,,,,,,1.0,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,{},6870.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,22,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],873301.0,873301.0,https://pypi.org/project/torch,,540456.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31886935.0,32.0,,,,,,1.0,-33.0,BSD-3-Clause,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,{},517.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,422214.0,422214.0,https://pypi.org/project/nltk,72421899.0,72485973.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-08-16 01:44:08.443,2026-08-16 01:44:08.443000,4164823.0,26.0,,,,,,1.0,,,,,,,,,,,,,,
14,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,206331.0,206331.0,https://pypi.org/project/tokenizers,265119730.0,265192092.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5282462.0,39.0,,,,,,1.0,,,,,,,,,,,,,,
15,Plotly,plotly/plotly.py,data-viz,,{},330.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,476416.0,476416.0,https://pypi.org/project/plotly,70969452.0,71182341.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,15892135.0,119.0,,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,994.0,,,,,,,,,
16,networkx,networkx/networkx,graph,,{},850.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,460076.0,460076.0,https://pypi.org/project/networkx,282076180.0,282565341.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,35219625.0,33.0,,,,,,1.0,,,,,,,,,,,,,,
17,Keras,keras-team/keras,ml-frameworks,,{},1551.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308303.0,308303.0,https://pypi.org/project/keras,18651978.0,18724637.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5376768.0,52.0,,,,,,1.0,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,{},701.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,173001.0,173001.0,https://pypi.org/project/xgboost,51303460.0,51414552.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-08-20 00:30:29.570,2026-08-20 00:30:29.570000,8109742.0,45.0,,,,,,1.0,,,,,,,,,,,,,,
