,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5199.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547248.0,547248.0,https://pypi.org/project/tensorflow,19384313.0,20629045.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-05-07 01:46:13.942,2026-07-30 12:50:07.881761,7223132.0,46.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-07-30 12:50:07.881761,2911.0,2911.0,82397619.0,1.0,-30.0,,,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},515.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2470178.0,2470178.0,https://pypi.org/project/Pillow,520325405.0,521439525.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,80216689.0,60.0,,,,,,1.0,,PIL,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1893.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1912079.0,1912079.0,https://pypi.org/project/matplotlib,219329740.0,219886762.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,40662621.0,84.0,,,,,,1.0,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,{},6780.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,24,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],870055.0,870055.0,https://pypi.org/project/torch,95209197.0,95756217.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31727160.0,32.0,,,,,,1.0,-31.0,BSD-3-Clause,,,,,,,,,,,,
10,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3545.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1367880.0,1367880.0,https://pypi.org/project/scikit-learn,223072531.0,223739486.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,49354699.0,63.0,,,,,,1.0,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,{},1951.0,"Ecosystem of open-source software for mathematics, science, and engineering.",24,False,scipy,conda-forge/scipy,,,,1458259.0,1458259.0,https://pypi.org/project/scipy,425896184.0,427182737.0,https://anaconda.org/conda-forge/scipy,2020-11-01 04:38:56.532,2026-06-20 01:57:35.918,2026-06-20 01:57:35.918000,87485654.0,56.0,,,,,,1.0,,,,,,,,,,,,,,
12,transformers,huggingface/transformers,nlp,,{},4054.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,23,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",430534.0,430534.0,https://pypi.org/project/transformers,178306500.0,178372050.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-07-16 16:57:17.780,2026-07-16 16:57:17.780000,4719657.0,194.0,,,,,,1.0,,,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,{},512.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,421517.0,421517.0,https://pypi.org/project/nltk,67908044.0,67972019.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-07-08 05:21:55.681,2026-07-08 05:21:55.681000,4094454.0,23.0,,,,,,1.0,,,,,,,,,,,,,,
14,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,204562.0,204562.0,https://pypi.org/project/tokenizers,212814482.0,212885195.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5091363.0,39.0,,,,,,1.0,,,,,,,,,,,,,,
15,Plotly,plotly/plotly.py,data-viz,,{},328.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,475352.0,475352.0,https://pypi.org/project/plotly,67560026.0,67770622.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,15525431.0,119.0,,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,793.0,,,,,,,,,
16,networkx,networkx/networkx,graph,,{},847.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,457931.0,457931.0,https://pypi.org/project/networkx,275961741.0,276443542.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,34207939.0,33.0,,,,,,1.0,,,,,,,,,,,,,,
17,Keras,keras-team/keras,ml-frameworks,,{},1542.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308118.0,308118.0,https://pypi.org/project/keras,18643431.0,18716541.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5337037.0,52.0,,,,,,1.0,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,{},694.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,172626.0,172626.0,https://pypi.org/project/xgboost,48128000.0,48238633.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-07-21 08:09:36.460,2026-07-21 08:09:36.460000,7965633.0,43.0,,,,,,1.0,,,,,,,,,,,,,,
